Committee Name,Expenditure Amount,Candidate Full Name,Incumbant,Office,District
Coombs for Aurora,22948.61,Alison Coombs,No,Council Member At Large,City Wide
Curtis for Aurora,46238.63,Curtis Gardner,Yes,Council Member At Large,City Wide
Francoise for Aurora,16715.43,Francoise Bergan,Yes,Council Member,Ward 6
Gray for Aurora,4673.6,Jonathan Gray,No,Council Member,Ward 4
Jono Scott for Aurora,12104.16,Jono Scott,No,Mayor,City Wide
Lawson for Aurora City Council,2449.35,Angela Lawson,No,Council Member,Ward 5
Marcano for Aurora,36827.33,Juan Marcano,No,Mayor,City Wide
Mayes for Aurora,18642.86,Thomas Mayes,No,Council Member At Large,City Wide
Mike for Mayor,45464.270000000004,Mike Coffman,Yes,Mayor,City Wide
Rhodes for Aurora,4829.0,Chris Rhodes,No,Council Member,Ward 5
,,Jeffrey Sanford,No,Mayor,City Wide
